Ref,Val,Package,PosX,PosY,Rot,Side
"C1","-","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",155.8000,-114.1000,90.0000,bottom
"C2","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",138.8000,-99.7000,90.0000,bottom
"C3","-","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",150.6000,-114.1000,90.0000,bottom
"C4","470nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",148.4000,-108.0000,90.0000,bottom
"C5","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.8000,-104.3000,90.0000,bottom
"C6","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",148.4000,-104.3000,90.0000,bottom
"C7","47nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",158.4750,-111.7000,180.0000,bottom
"C8","1p8","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",160.5000,-103.5000,0.0000,bottom
"C9","47pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",158.4750,-110.0000,180.0000,bottom
"C10","2p4","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",160.5000,-105.3000,180.0000,bottom
"C11","-","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",161.1000,-108.7000,-90.0000,bottom
"C12","-","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",163.1000,-104.4000,90.0000,bottom
"C13","3p3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",163.6000,-107.8000,180.0000,bottom
"C14","5p6","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.1000,-108.7000,-90.0000,bottom
"C15","39pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",168.6000,-108.5000,135.0000,bottom
"C16","2p2","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",171.4000,-112.2000,-90.0000,bottom
"C17","39pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.9000,-111.3000,180.0000,bottom
"C18","39pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",165.7000,-105.3000,180.0000,bottom
"C19","3p3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",178.5000,-112.2000,90.0000,bottom
"C20","3p3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",168.3000,-104.4000,-90.0000,bottom
"C21","10uF","SMD-0805",137.6000,-102.8000,0.0000,bottom
"C22","3p3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",182.5000,-112.2000,90.0000,bottom
"C23","3p3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",172.3000,-104.4000,-90.0000,bottom
"C24","10uF","SMD-0805",137.7000,-109.0000,0.0000,bottom
"C25","10uF","SMD-0805",136.6000,-99.7000,90.0000,bottom
"D1","BZV55C-5,6V","Diode-MiniMELF_Standard",141.3000,-98.8000,90.0000,bottom
"J2","SM07B-GHS-TB","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",159.0040,-82.2960,180.0000,top
"J13","U.FL","U.FL_Hirose_U.FL-R-SMT-1_Vertical",188.0000,-118.0000,-90.0000,top
"J15","U.FL","U.FL_Hirose_U.FL-R-SMT-1_Vertical",188.0000,-92.0000,90.0000,top
"L1","15uH","SMD-0805",146.5000,-107.7000,90.0000,bottom
"L2","15nH","L_0402_1005Metric",158.0000,-104.4000,-90.0000,bottom
"L3","0R","L_0402_1005Metric",157.9000,-107.6000,0.0000,bottom
"L4","47nH","L_0402_1005Metric",159.6000,-108.1000,90.0000,bottom
"L5","2n5","L_0402_1005Metric",163.6000,-109.5000,0.0000,bottom
"L6","4n7","L_0402_1005Metric",169.5000,-111.3000,0.0000,bottom
"L7","9n1","L_0402_1005Metric",180.5000,-111.3000,0.0000,bottom
"L8","9n1","L_0402_1005Metric",170.3000,-105.3000,0.0000,bottom
"R1","10k","SMD-0805",155.2540,-98.9040,0.0000,bottom
"U1","SX1262","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias",153.2000,-105.9000,90.0000,bottom
"U2","MIC5504-3.3YM5","SOT-23-5",137.6000,-105.9000,-90.0000,bottom
"Y1","32MHz","Crystal_SMD_NX2016SA",153.2000,-115.7000,90.0000,bottom
