Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,mfpn,ust_id
1,,C-Device-ISM02A-rescue,C8,1p8,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,"C0G 0,1pF 50V",5dad52a4128750448eca18e8
2,,C-Device-ISM02A-rescue,C16,2p2,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,"C0G 0,1pF 50V",5c70984812875079b91f8bdd
3,,C-Device-ISM02A-rescue,C10,2p4,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,"C0G 0,1pF 50V",5dad53d8128750448eca1906
4,,C-Device-ISM02A-rescue,C13C19C22,3p3,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,3,,"C0G 0,1pF 50V",5cd09016128750448e45434f
5,,C-Device-ISM02A-rescue,C14,5p6,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,"C0G 0,25pF 50V",5dad5450128750448eca1919
6,,C-Device-ISM02A-rescue,C15C17,39pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,2,,C0G 5% 50V,5dad549f128750448eca1926
7,,C-Device-ISM02A-rescue,C9,47pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,C0G 5% 50V,5dad5314128750448eca18f7
8,Unpolarized capacitor,C,C18,1nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,~,,5c70984812875079b91f8bec
9,,C-Device-ISM02A-rescue,C7,47nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,X7R 1% 16V,5dad51cf128750448eca18d8
10,,C_Small-Device-ISM02A-rescue,C2,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,,5c70984812875079b91f8bf2
11,,C-Device-ISM02A-rescue,C6,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,,5c70984812875079b91f8bf2
12,,C-Device-ISM02A-rescue,C4,470nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,X5R 10% 10V,5dad50c1128750448eca18c6
13,,C-Device-ISM02A-rescue,C5,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1,,,5c70984812875079b91f8bc2
14,,C_Small-Device-ISM02A-rescue,C21C24C25,10uF,SMD-0805,3,,,5c70984812875079b91f8bbe
15,,C-Device-ISM02A-rescue,C1C3C11C12,-,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,4,,,
16,,D_ZENER-MLAB_D,D1,"BZV55C-5,6V",Diode-MiniMELF_Standard,1,,,5c70984512875079b91f88b2
17,,HEADER_2x01_PARALLEL-MLAB_HEADER,J2J3J4J5J6J7J8J9J10J11J13J15,HEADER_2x01_PARALLEL,Straight_2x01,12,,,
18,,JUMP_3X2-MLAB_Jumpers,J1,JUMP_3X2,Straight_2x03,1,,,
19,,SMA-MLAB_CONNECTORS,J12,MCX,MCX,1,,,
20,,L-Device-ISM02A-rescue,L3,0R,L_0402_1005Metric,1,,,5c70984512875079b91f8949
21,,L-Device-ISM02A-rescue,L5,2n5,L_0402_1005Metric,1,,LQW15AN2N5C00D,5dad56ff128750448eca1975
22,,L-Device-ISM02A-rescue,L6,4n7,L_0402_1005Metric,1,,LQW15AN4N7C00D,5dad574f128750448eca1986
23,,L-Device-ISM02A-rescue,L7,9n1,L_0402_1005Metric,1,,LQW15AN9N1H00D,5dad5789128750448eca1995
24,,L-Device-ISM02A-rescue,L2,15nH,L_0402_1005Metric,1,,LQW15AN15NH00D,5dad566c128750448eca1959
25,,L-Device-ISM02A-rescue,L4,47nH,L_0402_1005Metric,1,,LQW15AN47NJ00D,5dad56ba128750448eca1968
26,,L_Small-Device-ISM02A-rescue,L1,15uH,SMD-0805,1,,MLZ2012M150W 0805,5dad55e8128750448eca1941
27,Resistor,R,R2,100R,SMD-0603,1,~,,5c70984512875079b91f8956
28,,R-Device-ISM02A-rescue,R1,10k,SMD-0603,1,,,5c70984512875079b91f8962
29,,MIC5504-3.3YM5-Regulator_Linear-ISM02A-rescue,U2,MIC5504-3.3YM5,SOT-23-5,1,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,,5c7255e81287500b4e112ea2
30,RF Switch,PE4259,U3,PE4259,SOT-363_SC-70-6,1,https://www.psemi.com/pdf/datasheets/pe4259ds.pdf,,5face19b12875025b3977e15
31,,SX1262-MLAB_IO-ISM02A-rescue,U1,SX1262,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,1,,,5dad5866128750448eca19a4
32,,Crystal_GND24-Device-ISM02A-rescue,Y1,32MHz,Crystal_SMD_NX2016SA,1,,NX2016SA-32M-EXS00A-CS06465,5dad592b128750448eca19b2
