Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","-","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",152.4580,-124.4600,90.0000,bottom
"C2","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.1380,-111.2520,0.0000,bottom
"C3","-","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.2580,-124.4600,90.0000,bottom
"C4","470nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",145.0580,-119.7460,90.0000,bottom
"C5","1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",143.4580,-116.0460,90.0000,bottom
"C6","100nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",145.0580,-116.0460,90.0000,bottom
"C7","47nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",155.1330,-123.4460,180.0000,bottom
"C8","1p8","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",158.5100,-115.3160,0.0000,bottom
"C9","47pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",155.1330,-121.7460,180.0000,bottom
"C10","2p4","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",158.5100,-117.0460,180.0000,bottom
"C11","-","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.7580,-120.4460,-90.0000,bottom
"C12","-","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",161.5580,-116.1460,90.0000,bottom
"C13","3p3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",160.2580,-119.5460,180.0000,bottom
"C14","5p6","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.7580,-122.1600,-90.0000,bottom
"C15","39pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",163.7398,-119.5324,180.0000,bottom
"C16","2p2","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",168.1480,-119.8880,-90.0000,bottom
"C17","39pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.1046,-113.0300,180.0000,bottom
"C18","1nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",160.7960,-112.1410,180.0000,bottom
"C19","3p3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",168.9496,-113.9300,90.0000,bottom
"C21","10uF","SMD-0805",143.0380,-110.0520,-90.0000,bottom
"C22","3p3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",172.7200,-113.7920,90.0000,bottom
"C24","10uF","SMD-0805",136.6520,-109.7915,90.0000,bottom
"C25","10uF","SMD-0805",145.2880,-108.6485,90.0000,bottom
"D1","BZV55C-5,6V","Diode-MiniMELF_Standard",149.6340,-108.7120,0.0000,bottom
"J1","JUMP_3X2","Straight_2x03",147.8280,-104.1400,90.0000,top
"J2","HEADER_2x01_PARALLEL","Straight_2x01",139.1920,-118.8720,0.0000,top
"J3","HEADER_2x01_PARALLEL","Straight_2x01",163.5960,-104.1400,90.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",172.2020,-104.1400,90.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",167.1020,-104.1400,90.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",169.6520,-104.1400,90.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_2x01",174.7520,-104.1400,90.0000,top
"J8","HEADER_2x01_PARALLEL","Straight_2x01",158.4960,-104.1400,90.0000,top
"J9","HEADER_2x01_PARALLEL","Straight_2x01",155.9460,-104.1400,90.0000,top
"J10","HEADER_2x01_PARALLEL","Straight_2x01",153.3960,-104.1400,90.0000,top
"J11","HEADER_2x01_PARALLEL","Straight_2x01",161.0460,-104.1400,90.0000,top
"J12","MCX","MCX",179.3748,-114.3000,90.0000,top
"J13","HEADER_2x01_PARALLEL","Straight_2x01",139.1920,-116.3320,0.0000,top
"J15","HEADER_2x01_PARALLEL","Straight_2x01",139.1920,-113.7920,0.0000,top
"L1","15uH","SMD-0805",143.1580,-119.3800,90.0000,bottom
"L2","15nH","L_0402_1005Metric",155.9700,-116.1460,-90.0000,bottom
"L3","0R","L_0402_1005Metric",154.5580,-119.3460,0.0000,bottom
"L4","47nH","L_0402_1005Metric",156.2580,-119.8460,90.0000,bottom
"L5","2n5","L_0402_1005Metric",160.2580,-121.2460,0.0000,bottom
"L6","4n7","L_0402_1005Metric",166.2176,-119.3800,90.0000,bottom
"L7","9n1","L_0402_1005Metric",170.9496,-113.0300,0.0000,bottom
"M1","HOLE","MountingHole_3mm",180.3400,-104.1400,0.0000,top
"M2","HOLE","MountingHole_3mm",139.7000,-104.1400,0.0000,top
"M3","HOLE","MountingHole_3mm",180.3400,-124.4600,0.0000,top
"M4","HOLE","MountingHole_3mm",139.7000,-124.4600,0.0000,top
"R1","10k","SMD-0603",167.2335,-110.2360,0.0000,bottom
"R2","100R","SMD-0603",163.1695,-110.2360,180.0000,bottom
"U1","SX1262","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias",149.8580,-117.6460,90.0000,bottom
"U2","MIC5504-3.3YM5","SOT-23-5",139.9380,-110.0520,180.0000,bottom
"U3","PE4259","SOT-363_SC-70-6",165.1000,-115.8860,90.0000,bottom
"Y1","32MHz","Crystal_SMD_NX2016SA",149.8580,-126.0600,90.0000,bottom
